Read Bandwidth,Write Bandwidth
9194261,1135774
94,0
101,0
102,0
101,0
103,0
103,0
103,0
102,0
103,0
103,0
102,0
103,0
103,0
103,0
103,0
103,0
103,0
103,0
102,0
102,0
103,0
103,0
103,0
103,0
103,0
103,0
103,0
103,0
103,0
102,0
102,0
102,0
102,0
103,0
103,0
103,0
103,0
103,0
103,0
103,0
103,0
103,0
102,0
102,0
100,0
102,0
102,0
102,0
103,0
103,0
103,0
103,0
102,0
102,0
102,0
103,0
103,0
103,0
103,0
103,0
103,0
103,0
103,0
102,0
103,0
103,0
103,0
102,0
103,0
103,0
103,0
103,0
103,0
103,0
103,0
102,0
103,0
102,0
102,0
103,0
103,0
103,0
103,0
103,0
103,0
102,0
101,0
103,0
103,0
103,0
103,0
102,0
102,0
102,0
103,0
103,0
103,0
103,0
103,0
103,0
