Read Bandwidth,Write Bandwidth
17854808,3668269
106,0
116,0
117,0
116,0
116,0
117,0
116,0
116,0
117,0
116,0
116,0
116,0
117,0
117,0
117,0
116,0
116,0
117,0
117,0
117,0
117,0
116,0
116,0
116,0
116,0
116,0
115,0
116,0
116,0
116,0
116,0
115,0
116,0
116,0
116,0
116,0
117,0
117,0
117,0
117,0
117,0
116,0
116,0
117,0
116,0
117,0
116,0
117,0
117,0
116,0
116,0
116,0
116,0
117,0
117,0
117,0
117,0
117,0
116,0
116,0
117,0
116,0
116,0
116,0
116,0
116,0
116,0
116,0
116,0
117,0
116,0
117,0
117,0
116,0
117,0
116,0
117,0
116,0
116,0
117,0
116,0
117,0
116,0
116,0
116,0
116,0
115,0
116,0
117,0
117,0
116,0
117,0
117,0
117,0
116,0
116,0
116,0
117,0
117,0
116,0
